CNE      ;Prenom;Nom       ;notecc;notetp;notecu;moyy;delib
N131185850;ayoub;fillali;19;19;19;19;valide
0000AZ;aas;zazae;11;19;11;13;valid‚
E1;anssa;fiiaif;13;11;20;16;Valid‚
N11;ˆtƒˆtƒ;ˆtƒaz;12;11;10;10.75;valid‚
azaz12;azaww;wwazde;11;10;14;12.25;valid‚
0;1çé*;é;;;;;valid‚
11111111;anazadzad;azdzadazd;1;1;1;1;Ratrrapage
CN12121212;zaeaeaze‡;zaezadzad;2;3;2;2.25;Ratrrapage
99999;aazeffaf;fdefreh;20;17;1;9.75;Rattrapage
321321;azaazeza;derfeer;19;16;13;15.25;valid‚
14241256;zagezageæ;zaeaezae;12;13;13;12.75;valid‚
61752512;aazezaeza—;azeazdzf;11;11;11;11;valid‚
N1221;aze;zae;10;10;10;10;valid‚
“““;“““;1;1;1;1;1;Ratrrapage
)ø-;øø;øø;11;11;11;11;valid‚
